scenario,environment,environment_index,strategy,description,probability_of_detection,probability_of_false_alarm,sensitivity,average_intercept_rate,average_reward,average_cost,average_continuous_reward,percentage_of_correct_predictions,average_intercept_time_error,average_intercept_time_error_us,average_time_to_intercept,average_time_to_intercept_censored,average_time_to_intercept_us,scan_efficiency,coverage,active_band_coverage,average_dwell_time,total_reward,n_timesteps,n_bands,emission_opportunities,observed_active_cells,intercepts,observed_idle_cells,false_alarms,visits,settling_timesteps,predictions,correct_predictions,bands_ever_active,bands_intercepted,n_intercept_time_predictions
spatial_scan,config_31:spatial_scan,6,sequential,Open-loop sequential sweep (baseline),0.030340616353401392,0.008178844056706653,0.9578313253012049,0.0795,-0.033087500000000006,-0.06572225,0.06572225,,13.758139534883721,27516.279069767443,39.5,39.5,79000.0,0.0795,1.0,1.0,2.0,-132.35000000000002,4000.0,32.0,10481.0,332.0,318.0,3668.0,30.0,4000.0,0.0,0.0,0.0,4.0,4.0,215.0
spatial_scan,config_31:spatial_scan,6,random,Uniform random band selection,0.03110390229939891,0.008745558895873189,0.9560117302052786,0.0815,-0.033975,-0.06746125,0.06746125,,62.74429223744292,125488.58447488584,59.25,59.25,118500.0,0.0815,1.0,1.0,2.0,-135.9,4000.0,32.0,10481.0,341.0,326.0,3659.0,32.0,4000.0,0.0,0.0,0.0,4.0,4.0,219.0
spatial_scan,config_31:spatial_scan,6,smart_heuristic,Smart Scan without the learned model (occupancy heuristic + Thompson),0.05657857074706612,0.00827178729689808,0.9642276422764228,0.14825,0.044599999999999994,-0.13470500000000002,0.13470500000000002,94.15,11.373115577889447,22746.231155778893,80.75,80.75,161500.0,0.14825,1.0,1.0,2.0,178.39999999999998,4000.0,32.0,10481.0,615.0,593.0,3385.0,28.0,4000.0,0.0,2000.0,1883.0,4.0,4.0,398.0
spatial_scan,config_31:spatial_scan,6,smart_ml_only,Smart Scan with XGBoost but no online Thompson Sampling,0.06459307318004007,0.008500303582270795,0.9589235127478754,0.16925,0.06833750000000001,-0.15573925000000002,0.15573925000000002,98.95,9.138344226579521,18276.688453159044,15.5,15.5,31000.0,0.16925,1.0,1.0,2.0,273.35,4000.0,32.0,10481.0,706.0,677.0,3294.0,28.0,4000.0,0.0,2000.0,1979.0,4.0,4.0,459.0
spatial_scan,config_31:spatial_scan,6,smart,"Smart Scan as shipped: XGBoost, Thompson Sampling per config.yaml",0.06459307318004007,0.008500303582270795,0.9589235127478754,0.16925,0.06833750000000001,-0.15573925000000002,0.15573925000000002,98.95,9.138344226579521,18276.688453159044,15.5,15.5,31000.0,0.16925,1.0,1.0,2.0,273.35,4000.0,32.0,10481.0,706.0,677.0,3294.0,28.0,4000.0,0.0,2000.0,1979.0,4.0,4.0,459.0
spatial_scan,config_161:spatial_scan,7,sequential,Open-loop sequential sweep (baseline),0.030694668820678513,0.007788944723618091,0.95,0.00475,-0.1185625,0.009140750000000001,-0.009140750000000001,,296.66101694915255,593322.0338983051,132.0,132.0,264000.0,0.00475,1.0,1.0,2.0,-474.25,4000.0,32.0,619.0,20.0,19.0,3980.0,31.0,4000.0,0.0,0.0,0.0,2.0,2.0,59.0
spatial_scan,config_161:spatial_scan,7,random,Uniform random band selection,0.03231017770597738,0.008040201005025126,1.0,0.005,-0.12153749999999999,0.009015750000000001,-0.009015750000000001,,158.63432835820896,317268.6567164179,146.0,146.0,292000.0,0.005,1.0,1.0,2.0,-486.15,4000.0,32.0,619.0,20.0,20.0,3980.0,32.0,4000.0,0.0,0.0,0.0,2.0,2.0,67.0
spatial_scan,config_161:spatial_scan,7,smart_heuristic,Smart Scan without the learned model (occupancy heuristic + Thompson),0.029079159935379646,0.008038181361466968,0.9473684210526315,0.0045,-0.118875,0.009518750000000001,-0.009518750000000001,96.45,543.5094339622641,1087018.8679245282,196.5,196.5,393000.0,0.0045,1.0,1.0,2.0,-475.5,4000.0,32.0,619.0,19.0,18.0,3981.0,32.0,4000.0,0.0,2000.0,1929.0,2.0,2.0,106.0
spatial_scan,config_161:spatial_scan,7,smart_ml_only,Smart Scan with XGBoost but no online Thompson Sampling,0.04361873990306947,0.007804632426988922,0.9642857142857143,0.00675,-0.11630000000000001,0.007127500000000002,-0.007127500000000002,97.5,228.36363636363637,456727.27272727276,49.5,49.5,99000.0,0.00675,1.0,1.0,2.0,-465.20000000000005,4000.0,32.0,619.0,28.0,27.0,3972.0,31.0,4000.0,0.0,2000.0,1950.0,2.0,2.0,110.0
spatial_scan,config_161:spatial_scan,7,smart,"Smart Scan as shipped: XGBoost, Thompson Sampling per config.yaml",0.04361873990306947,0.007804632426988922,0.9642857142857143,0.00675,-0.11630000000000001,0.007127500000000002,-0.007127500000000002,97.5,228.36363636363637,456727.27272727276,49.5,49.5,99000.0,0.00675,1.0,1.0,2.0,-465.20000000000005,4000.0,32.0,619.0,28.0,27.0,3972.0,31.0,4000.0,0.0,2000.0,1950.0,2.0,2.0,110.0
